Date,Date,Q (m3/s),T (C)
2022-05-09 16:00:00,2022-05-09 16:00:00,0.010247598,
2022-05-09 17:00:00,2022-05-09 17:00:00,0.011419832,
2022-05-09 18:00:00,2022-05-09 18:00:00,0.010827781,
2022-05-09 19:00:00,2022-05-09 19:00:00,0.01086015,
2022-05-09 20:00:00,2022-05-09 20:00:00,0.010589537,
2022-05-09 21:00:00,2022-05-09 21:00:00,0.010016705,
2022-05-09 22:00:00,2022-05-09 22:00:00,0.009514529,
2022-05-09 23:00:00,2022-05-09 23:00:00,0.008907027,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.009445295,
2022-05-10 01:00:00,2022-05-10 01:00:00,0.008707246,
2022-05-10 02:00:00,2022-05-10 02:00:00,0.008158804,
2022-05-10 03:00:00,2022-05-10 03:00:00,0.008029886,
2022-05-10 04:00:00,2022-05-10 04:00:00,0.008440341,
2022-05-10 05:00:00,2022-05-10 05:00:00,0.007539769,
2022-05-10 06:00:00,2022-05-10 06:00:00,0.007238899,
2022-05-10 07:00:00,2022-05-10 07:00:00,0.006852229,
2022-05-10 08:00:00,2022-05-10 08:00:00,0.007324952,
2022-05-10 09:00:00,2022-05-10 09:00:00,0.006562678,
2022-05-10 10:00:00,2022-05-10 10:00:00,0.006949946,
2022-05-10 11:00:00,2022-05-10 11:00:00,0.007352289,
2022-05-10 13:00:00,2022-05-10 13:00:00,0.009008547,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.010233569,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.017881592,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.019445182,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.019547035,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.019930341,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.018734832,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.018379981,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.019685023,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.020682655,
2022-05-10 00:00:00,2022-05-10 00:00:00,0.019316225,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.018583878,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.01705349,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.01813902,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.018674957,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.017509957,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.017184306,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.016334535,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.016314002,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.016101188,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.015976892,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.015138622,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.014925908,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.015783884,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.016345565,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.017117427,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020211892,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.019950705,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020714487,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.021368462,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020658338,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020972212,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.01951822,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020257603,
2022-05-11 00:00:00,2022-05-11 00:00:00,0.020227893,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.020736971,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.021163255,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.019751129,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.019199223,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.019303413,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.017280299,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.01436171,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.01449476,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.016106019,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.016348641,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.017111682,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.015613896,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.016518121,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.017240138,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.018295454,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.020263553,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.019041988,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.019270351,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.018586078,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.018877727,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.0176922,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.017208569,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.018293458,
2022-05-12 00:00:00,2022-05-12 00:00:00,0.01890993,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.0190924,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.018261574,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.017174395,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016672077,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.017165541,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.016161607,
2022-05-13 00:00:00,2022-05-13 00:00:00,0.015063999,
